January,February,March,April,May,June,July,August,September,October,November,December
100,711,89,78,413,0,295,552,154,87,206,135
634,0,84,149,517,333,962,1753,1427,1739,0,123
93,98,104,104,173,75,1612,175,677,87,0,117
0,0,0,0,0,0,0,0,0,0,0,0
1566,1102,129,114,116,1673,92,148,0,131,478,126
1493,112,1221,631,896,0,140,1461,101,566,133,811
686,105,451,0,1283,115,484,477,94,1389,92,293
877,136,1034,0,126,799,1156,422,75,1057,334,377
1091,598,959,911,178,1771,841,1668,112,143,0,1747
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,604,72,95,86,70,134,102,0,169
1743,0,1577,155,1251,145,1086,366,119,99,0,1235
125,448,145,772,129,88,126,503,84,489,111,638
127,0,1488,0,1478,1435,92,94,1086,1570,1521,123
1024,133,77,383,1135,0,0,109,466,514,658,1100
206,1496,0,398,0,150,1064,1560,124,1722,953,334
814,229,155,849,180,501,543,109,120,0,1341,494
147,93,774,458,461,135,159,1415,1160,1407,218,396
70,538,224,315,1021,157,77,879,1705,0,124,0
110,107,1331,0,139,72,428,1485,1209,1128,1771,885
133,1247,127,94,87,1091,122,108,504,1004,225,1143
96,120,711,677,1545,121,79,465,907,1707,130,126
104,1326,573,1581,91,716,489,643,1300,125,1719,745
131,0,107,116,98,1579,157,0,114,971,823,0
0,0,149,800,220,1409,435,130,178,100,110,111
798,1724,769,132,1281,1033,737,135,0,97,1407,120
0,0,0,0,0,0,0,0,0,0,0,0
1323,154,1732,128,1041,1745,426,344,95,106,1585,168
0,87,491,133,95,1562,293,305,1132,1001,795,80
118,0,569,133,0,1171,0,0,0,328,180,0
628,115,107,1489,119,0,140,1779,1692,1777,205,0
98,581,1597,1272,435,362,765,1473,130,334,326,169
93,132,123,1207,82,901,79,1688,85,1126,492,1250
99,0,0,828,1610,725,105,100,100,0,100,135
0,0,109,244,93,0,83,0,100,159,882,171
109,1232,90,113,85,1403,1601,86,1252,171,110,93
267,135,1297,1761,174,333,135,127,660,92,977,1442
818,127,112,0,0,1163,1384,122,179,791,622,136
99,170,94,0,148,264,305,112,0,739,133,0
859,1322,114,151,1634,142,844,1400,0,88,529,260
865,0,132,1632,1437,0,89,1071,87,429,791,120
1184,116,91,0,153,93,113,1196,833,103,0,1068
654,92,0,810,643,633,0,494,120,169,1085,73
0,159,239,124,1600,101,123,124,1423,1790,152,1622
101,1683,214,132,106,1399,105,1491,160,101,112,74
422,106,79,278,135,1144,0,107,107,82,147,214
350,1618,148,105,90,119,459,129,1211,158,207,385
145,1337,423,83,125,1381,1190,1157,0,119,112,114
898,0,0,1408,1134,1508,1000,289,97,971,1144,446
1352,109,92,1528,1296,127,133,1684,0,1029,91,513
1652,122,176,784,0,1642,108,248,0,90,119,1545
135,98,1284,1283,952,1752,0,280,1019,414,0,1360
1763,986,92,1275,83,95,903,115,459,112,254,709
901,866,0,166,857,1436,688,153,1441,0,842,291
633,1199,124,151,1275,1789,386,119,1487,107,1176,663
1784,112,1043,372,127,1353,167,96,130,1473,200,896
1399,1263,1172,119,944,158,1333,928,564,0,111,315
154,0,85,358,114,752,153,122,103,586,162,676
1798,834,139,85,117,100,129,720,112,1748,927,89
106,1003,313,128,430,119,1293,372,170,92,1095,75
1134,1771,1598,1518,224,145,126,99,533,112,901,85
864,0,144,1597,99,86,903,147,1584,91,517,721
1708,105,1464,1188,0,97,126,97,109,101,569,132
1725,71,0,0,440,399,163,144,501,110,221,383
119,0,0,983,776,345,1390,1790,1054,99,453,300
670,116,136,98,0,1355,1033,153,1547,364,142,135
1201,1557,86,732,90,115,95,1640,799,955,657,606
523,0,79,109,1605,0,0,92,114,1079,90,1464
163,90,1350,1045,788,80,1064,1657,911,136,1465,754
331,1237,1455,110,1765,0,931,917,1294,552,85,141
132,1577,113,127,114,948,1764,1362,93,681,815,1687
569,130,872,1408,817,167,488,108,110,93,93,1422
751,77,229,717,1562,336,711,1124,476,980,1790,995
817,407,161,97,923,1056,90,220,0,94,444,118
1628,174,161,0,97,1087,1087,1489,1776,1543,144,101
1789,0,313,1014,93,97,129,124,869,157,127,1332
543,0,96,637,432,133,414,124,1777,122,0,96
1395,86,391,110,0,1594,140,0,799,95,94,1315
152,424,112,1634,1624,0,1707,179,0,318,119,124
207,1049,123,117,104,165,482,89,1780,777,1356,114
101,0,135,1728,1328,134,155,1457,115,159,439,1325
791,116,1709,171,948,327,111,885,88,531,160,174
614,169,176,118,278,949,604,1110,104,126,1307,1075
1319,942,110,1599,74,402,1673,124,869,109,0,0
1651,1545,91,81,792,124,902,1453,0,638,120,95
97,1287,746,1276,420,1674,79,1057,364,585,142,771
213,167,1359,550,92,130,1533,1632,156,678,943,526
1762,105,91,120,354,0,592,95,837,735,115,1653
1090,101,1112,1517,90,0,93,174,0,100,114,0
1047,73,1298,846,1644,0,0,926,675,239,1083,223
828,498,1153,799,1314,1385,1436,820,1029,130,0,793
179,396,131,768,105,561,118,107,144,236,234,113
1733,0,113,1533,124,909,1663,86,0,1049,972,1231
118,596,1156,1584,1510,746,435,161,678,824,159,1048
429,703,1313,900,112,340,74,96,1737,120,98,170
87,129,1774,1670,93,107,0,0,0,693,415,602
441,1125,1073,858,1060,646,1778,1344,301,100,116,1504
1588,469,110,1121,1675,142,128,778,178,96,92,121
407,473,1690,217,1166,535,1424,157,0,101,128,1266
370,620,100,664,1425,93,0,1150,206,257,1783,955
909,122,103,105,122,579,298,108,80,86,163,1229
1692,77,1305,132,125,175,548,135,131,112,129,435
970,868,1100,216,95,976,1029,1766,1490,119,1651,244
930,892,99,809,693,108,114,268,1234,1708,841,0
0,114,88,1434,0,128,1161,90,1259,77,175,133
116,105,134,0,1125,0,131,901,1788,116,512,1076
177,177,100,1691,121,318,578,117,493,114,1709,874
1063,114,90,128,1492,1532,92,1383,85,0,362,166
78,276,99,944,143,1128,1373,1578,116,1110,1122,772
1353,164,1241,808,0,1495,998,648,1758,129,1228,1209
1311,0,0,180,363,85,568,387,101,0,155,818
1124,504,109,1791,945,667,1289,304,174,1378,108,498
1170,125,113,133,252,126,1321,1737,1568,323,1792,0
72,120,173,523,132,101,108,118,1137,142,299,135
1729,1340,1583,263,1639,798,793,479,875,261,130,123
125,653,1344,109,156,420,212,770,156,1717,1274,0
72,1571,737,0,105,1316,134,1217,1723,1435,1113,630
173,217,1215,143,146,156,88,1103,219,0,128,1370
94,1016,0,361,116,974,0,1432,0,1404,0,1395
0,226,118,108,1507,1415,134,427,639,330,1044,147
1402,0,352,1059,87,350,1272,381,564,0,127,71
0,100,100,128,481,1211,74,108,117,309,92,845
94,110,370,146,88,93,674,522,1791,89,1307,114
1724,94,1345,122,1202,123,1479,131,0,0,0,296
1040,940,101,534,0,1142,1266,99,1612,73,73,0
472,104,1667,599,130,101,814,107,125,983,402,117
0,284,1226,842,1757,105,0,0,133,826,103,1123
132,1083,1176,548,1089,893,1418,0,120,207,1085,1506
119,71,1040,137,163,867,834,113,0,164,1370,0
1399,86,178,111,456,1492,85,368,1358,102,97,1745
271,1484,152,774,315,1306,133,646,695,117,113,129
0,1798,0,156,0,438,644,1482,421,86,0,0
0,272,85,130,147,331,0,605,1491,214,1443,152
0,73,89,93,133,0,636,142,92,132,132,1639
122,70,1089,0,868,123,161,276,359,157,98,89
0,90,855,261,1555,1425,123,1082,693,123,130,1677
1236,125,175,0,259,611,0,1513,1436,1575,990,0
0,1695,1615,94,116,240,101,117,114,85,74,362
622,1587,90,1554,0,873,1611,128,1108,113,166,503
0,1446,1252,230,0,244,83,100,172,76,1614,121
71,97,1439,224,1294,91,1520,120,947,179,999,449
90,168,866,82,96,105,119,276,107,98,492,1223
1355,121,133,0,742,105,1525,82,71,205,404,522
0,739,96,99,694,1441,91,137,502,96,1178,115
131,1122,132,998,0,121,129,141,1056,1228,93,127
1687,178,92,1372,114,1482,1189,135,90,526,563,1037
101,1012,535,174,70,131,115,218,1067,114,1553,122
76,127,113,0,444,87,1721,1114,220,127,0,116
0,0,1108,363,127,994,609,143,454,0,306,0
333,154,94,85,729,1535,934,145,239,314,1150,170
0,260,123,1027,453,126,0,559,162,177,118,701
113,180,100,0,1484,1282,0,124,127,713,1203,0
98,690,111,0,1039,1672,102,1618,0,152,1132,254
114,1416,221,343,702,472,1411,130,134,1499,587,1482
91,0,86,97,134,485,0,133,1610,88,103,1119
1732,112,0,0,122,81,93,305,114,0,1503,135
249,0,1751,162,132,126,176,1687,772,0,124,914
73,680,0,507,402,1221,847,145,118,375,1124,277
104,669,1754,660,1532,110,1487,103,1023,122,811,115
92,100,121,0,470,142,0,1090,1374,1459,914,114
92,81,1570,0,868,109,1787,150,1320,511,100,690
544,316,1717,113,119,146,977,111,1208,103,1361,733
552,737,475,1685,1598,657,1643,1020,118,1407,0,1693
95,169,1229,0,87,1345,340,1249,1387,0,1133,101
138,118,164,103,1217,71,1663,1444,407,356,117,616
1279,651,1269,244,74,79,1120,113,152,818,0,221
0,127,272,1737,148,167,1525,119,690,114,100,0
1097,179,103,113,792,806,1347,175,489,547,0,117
1722,1032,116,1693,91,584,691,1498,1405,127,887,436
110,135,0,0,0,1037,714,1472,428,102,0,102
0,517,149,540,122,898,76,585,0,1260,843,76
209,977,96,386,137,143,0,1782,580,1069,116,170
121,114,111,154,155,1346,1773,88,93,134,86,389
1382,228,101,295,588,0,335,95,303,121,85,438
1161,110,97,783,0,311,130,457,623,1642,605,1370
126,107,308,134,1387,830,135,102,0,0,0,133
1103,266,125,532,140,331,87,101,1270,116,277,1529
1158,290,1650,805,763,135,560,962,1441,1089,160,126
1663,735,99,88,157,631,1504,1423,154,0,0,1281
1729,100,414,96,114,87,637,120,122,1304,1473,1294
1287,1544,100,89,685,1023,160,162,0,1382,0,128
1248,83,1661,89,133,993,339,151,0,0,0,127
670,0,148,556,580,164,1703,99,81,0,0,0
140,143,501,1369,91,1590,86,129,518,139,873,165
742,1290,143,385,714,153,1381,295,148,0,166,951
0,0,89,114,1617,90,496,150,1356,976,86,563
91,129,88,95,136,746,775,1299,0,659,1306,150
88,1010,90,1263,101,1513,1293,126,149,0,105,616
529,399,1356,1260,624,97,529,307,105,0,1371,170
1037,93,812,542,116,77,1296,1761,90,1724,1000,1660
298,1624,150,70,129,345,0,110,1130,122,784,655
96,159,86,403,125,1741,1311,105,115,1167,88,94
158,124,1141,97,1759,728,124,81,122,1293,759,869
118,85,1475,1697,100,1597,375,175,106,87,102,265
126,1210,1609,177,1557,78,147,100,663,125,630,347
1485,90,124,148,465,1624,120,1009,0,934,1107,240
1493,559,1220,1578,81,97,117,208,119,120,111,96
834,85,0,148,644,646,258,314,96,816,156,1233
94,0,523,1118,1425,0,122,119,0,795,131,73
649,104,0,857,1378,1566,165,1762,1755,163,1554,125
112,0,870,650,643,126,1228,441,589,991,1271,116
416,0,1563,1753,135,82,157,519,1296,128,289,135
1663,1245,1230,1071,846,124,105,896,149,116,1345,149
168,88,95,79,0,168,0,110,159,803,1577,131
111,155,86,105,169,0,0,0,99,1793,1383,288
114,1657,84,115,476,1282,1039,840,521,1130,935,245
378,357,146,103,1204,0,1725,1439,90,348,1710,125
395,91,284,91,145,86,152,574,129,109,0,685
127,118,864,108,88,107,104,1741,816,138,0,155
631,110,121,1537,493,0,107,114,180,443,138,1243
679,0,100,128,1790,0,97,101,0,212,0,893
1253,406,71,127,110,0,89,0,623,120,1019,0
620,91,119,139,1148,111,1357,85,690,178,96,131
132,694,0,1728,0,543,354,125,99,1341,91,152
101,112,118,1315,322,0,154,972,220,130,862,1294
662,126,1743,1234,86,901,94,1738,153,105,968,77
109,87,1265,1055,96,108,0,985,116,647,93,125
86,677,103,90,0,122,200,136,176,642,107,0
102,152,0,1550,238,1585,268,1358,103,114,99,285
110,92,1030,321,91,0,120,171,117,728,133,1017
0,0,116,119,1532,1317,1439,756,385,177,131,988
792,0,115,92,1698,1586,1723,112,87,119,95,447
1424,476,80,123,121,118,85,963,0,118,876,662
132,800,105,1408,537,756,728,857,1031,112,1118,140
101,1198,98,790,278,0,150,540,0,1154,539,0
0,128,1797,1568,270,86,1281,507,0,105,120,120
535,172,1202,157,93,1497,1296,99,1003,0,118,1122
87,1176,1107,834,110,314,102,758,815,378,125,686
0,728,622,857,0,86,855,171,93,485,1241,1422
112,170,0,531,686,84,90,132,609,252,1563,147
134,1000,1123,802,108,95,1768,168,0,120,832,1620
0,94,77,566,1422,90,87,1000,1605,838,1580,590
652,1354,98,114,979,0,120,148,100,1077,0,90
179,994,1602,939,1468,119,0,0,0,103,79,430
1038,1024,331,1092,1124,0,96,667,106,114,0,129
131,203,1335,101,1491,1573,345,525,117,1401,86,1788
99,747,92,922,120,480,95,177,802,129,233,654
1750,1470,1522,124,121,395,171,108,1233,79,1204,127
86,1556,1663,1223,129,117,1100,103,0,1353,109,1536
171,595,110,619,647,0,127,1755,807,152,997,101
1641,1228,894,959,1784,1677,129,751,1792,131,73,1431
691,347,889,90,175,126,71,1489,492,105,1338,664
0,474,392,131,448,1488,989,175,0,1610,1341,1114
127,1537,166,124,1729,130,117,134,584,426,0,362
0,122,1780,577,113,1380,118,301,317,655,95,995
94,122,86,1770,141,103,98,795,149,801,0,134
98,101,106,0,1192,1632,234,1180,110,916,79,1151
90,0,302,0,1674,670,122,161,1074,1329,779,989
120,1750,134,172,0,144,161,1339,686,0,172,884
335,1095,220,89,298,70,734,128,1668,525,439,645
613,111,259,119,175,96,1606,158,134,737,127,1059
855,152,263,219,85,1415,1398,119,668,0,121,106
128,85,0,86,538,85,1231,1722,1020,113,1132,1489
156,89,1276,422,1426,141,133,0,91,240,132,311
112,0,170,0,165,107,1584,1246,78,124,126,1212
910,167,1694,1602,1130,107,111,103,1403,127,787,93
492,540,117,686,675,1531,110,0,112,1489,114,89
156,112,1569,113,174,92,1500,583,1015,0,484,301
120,551,116,136,105,995,957,147,90,656,0,897
1074,1153,1758,98,133,1114,0,1031,374,111,156,1700
0,1352,150,89,91,1425,125,129,762,271,130,1730
633,115,0,0,351,215,101,627,1457,710,93,121
0,133,1384,999,101,163,1175,984,81,1700,1011,79
134,1268,126,93,1678,100,135,445,0,0,0,132
472,757,126,88,90,77,87,114,917,1022,593,86
127,0,115,261,0,112,929,1557,160,93,106,120
927,0,0,697,1081,107,116,559,1800,0,0,0
1040,602,995,899,175,155,395,334,124,254,138,0
493,162,1364,0,81,108,71,808,1726,110,1269,108
0,1254,821,100,133,93,139,141,1617,1325,1339,1110
179,1122,119,991,0,0,141,224,0,93,85,595
1661,1138,96,1029,107,118,1617,378,1717,135,1071,0
85,100,313,94,593,1145,0,1509,633,417,802,115
0,110,131,881,98,0,75,0,979,1045,109,122
0,0,1451,130,92,1713,0,490,354,87,674,90
117,659,1657,130,121,176,99,842,1640,797,753,1151
136,77,843,0,1050,121,1254,1157,0,0,87,1232
120,122,102,92,1206,1012,1370,109,509,379,129,94
1406,133,502,741,105,132,0,0,1734,773,105,1749
158,1771,0,1118,104,1753,128,130,706,596,127,1219
91,133,88,134,1230,1130,94,734,135,0,943,84
1588,98,1761,130,1619,668,122,107,482,125,0,1660
0,77,132,433,1708,1321,110,622,145,711,640,72
1203,121,127,1716,697,140,236,1011,97,117,0,1548
115,725,87,234,0,111,109,169,172,128,1284,883
1050,92,173,153,1286,0,116,619,1427,0,756,102
96,164,103,107,87,1588,1444,106,0,0,1338,1433
104,382,101,1756,864,1239,791,113,161,1167,118,0
1342,102,439,135,114,295,604,847,1141,612,114,0
85,80,373,134,1337,608,0,0,118,121,544,972
806,148,1283,118,132,92,99,1775,91,107,146,175
119,442,1428,0,102,144,109,1143,1631,464,85,1134
1624,0,0,96,118,990,105,287,602,97,1494,127
0,141,144,91,794,1356,154,150,836,0,127,777
793,417,1312,129,1349,576,943,134,1776,135,165,158
1576,1682,1221,0,1671,1380,87,114,1645,613,1137,1425
0,124,303,721,1598,1358,1018,128,126,102,1253,135
0,466,482,0,149,137,96,90,99,86,93,595
599,116,0,87,325,89,1108,135,0,1742,1714,101
328,810,124,1012,1328,159,0,924,146,1124,160,895
100,1269,1348,133,937,132,103,884,88,1421,1500,115
89,0,1274,131,1391,1724,71,0,827,1708,326,862
135,118,112,775,177,444,110,108,1410,0,1712,1065
91,525,1028,1750,133,1166,1072,219,128,0,126,115
1340,0,999,87,903,1430,1295,1145,127,155,86,532
322,0,307,123,1408,159,665,1145,78,91,1523,131
123,239,102,93,134,910,478,1667,315,1780,102,349
348,0,496,154,86,103,1238,1007,1360,902,926,419
0,106,1040,1574,839,358,120,87,90,477,0,151
1359,1727,119,116,146,436,490,265,116,1467,922,884
89,0,85,1175,872,793,95,0,860,111,447,129
166,160,1738,539,1050,167,205,309,85,1560,167,477
87,180,1401,0,1106,346,372,397,708,108,0,1185
1033,108,0,98,0,127,131,108,110,994,123,120
119,0,1721,831,167,1226,116,123,218,1127,0,102
487,0,386,89,1478,1492,168,0,107,930,777,1341
589,1255,1485,118,1263,1585,0,78,412,468,1557,86
105,1477,1054,105,103,130,859,89,1259,1520,127,112
1177,476,1392,1288,749,1060,174,108,126,448,1588,818
1325,1034,0,146,1722,617,126,997,578,0,71,354
1313,839,1155,117,280,1104,1791,125,122,167,1575,689
123,675,155,76,451,647,0,118,1341,1694,916,872
957,114,135,110,138,533,131,1576,101,153,105,1284
85,389,371,1209,100,1058,914,133,1572,1203,71,121
123,0,135,969,296,1305,1436,112,83,970,1659,1713
241,114,107,92,117,1518,82,118,504,773,109,104
91,632,430,0,0,0,743,1107,101,111,1255,267
97,1331,1650,1750,163,130,112,135,745,174,1573,1608
342,805,310,143,104,1328,102,1439,98,108,109,118
1001,166,930,110,1542,753,0,133,1353,1278,117,1052
112,471,135,110,0,690,152,1583,787,1210,709,113
177,856,1746,1776,71,221,890,1627,96,1390,149,1445
75,134,116,102,1628,110,138,1576,585,1762,1483,0
690,88,1218,129,169,767,303,0,1666,1420,0,91
1664,1011,97,0,0,753,211,1625,1453,1585,731,1177
728,723,477,107,1584,131,91,868,1041,776,79,90
1202,658,111,778,134,0,247,284,1458,401,622,83
211,134,331,561,130,97,1332,0,113,1269,0,96
1101,411,105,949,1531,243,1357,97,127,466,1734,610
120,1177,277,462,91,976,102,940,761,256,960,636
1592,99,731,1381,1720,120,134,173,1219,107,96,1621
1248,159,70,91,1379,0,143,115,95,1611,88,105
632,104,799,884,0,134,91,116,154,120,1590,127
892,0,1069,0,832,684,91,118,225,218,230,124
1523,85,107,0,609,273,134,639,121,0,1169,833
888,0,894,129,673,98,1260,412,1049,1450,166,1111
330,453,96,123,102,431,1196,1062,143,301,876,114
87,622,1751,1769,797,95,1587,860,1348,651,128,641
159,774,312,147,0,1562,0,97,686,1789,165,0
0,99,1788,0,120,111,0,560,0,105,1448,0
1471,1683,121,99,131,861,1271,1692,0,120,123,147
121,111,126,156,1383,106,793,328,121,160,1202,774
0,720,0,1538,1176,233,400,632,474,391,394,137
438,103,1201,121,1619,932,104,1120,1038,1011,1012,125
299,113,1632,122,130,1072,123,795,1353,161,1473,86
653,122,391,1779,114,106,112,101,144,395,1705,0
89,295,1062,1543,1638,0,0,886,0,894,1495,610
498,0,1654,588,104,0,1754,1055,125,1601,85,497
129,0,595,71,166,884,507,74,0,611,106,87
923,89,72,1430,94,608,102,1045,246,1245,882,384
842,77,100,634,1343,706,1369,155,0,1573,133,104
960,292,130,858,228,1073,1475,180,130,1323,1800,0
132,134,159,110,92,1102,1510,228,1190,134,169,657
90,873,0,676,1748,1735,90,135,109,88,410,1050
1133,1137,916,176,114,901,285,0,87,87,87,1066
1102,833,127,1339,148,0,133,110,212,1720,1123,128
0,128,75,130,136,1774,1489,179,124,1411,807,262
96,115,1160,0,780,1168,816,1655,636,468,127,113
0,539,1426,1215,113,105,314,1214,87,1176,288,756
1548,132,0,0,72,0,99,98,117,1089,751,84
1098,601,110,1092,1642,0,329,86,1704,1108,175,165
262,804,342,299,256,1764,1291,143,0,757,1236,426
100,0,105,1513,163,0,0,1686,588,293,1036,98
125,93,0,1222,1781,0,150,1219,158,1500,86,1301
968,290,144,1103,1374,1134,0,1313,139,101,78,116
1175,0,123,330,0,129,386,480,0,94,1132,99
1215,1500,610,1798,1149,815,450,405,0,899,100,0
72,779,0,77,878,1162,0,323,1268,1621,1561,0
768,135,147,754,339,93,138,1401,753,127,120,1358
104,1348,135,0,95,1424,567,90,88,110,444,1661
0,147,263,71,765,1530,1634,113,135,633,1125,139
1538,1088,0,133,0,124,1699,1619,1048,164,125,651
1021,1782,0,609,144,140,1726,599,0,1769,88,1500
73,176,124,175,283,766,514,656,122,108,467,127
1291,776,118,1574,1683,86,88,1696,1418,102,92,127
1527,121,166,425,988,107,0,1146,119,1417,92,99
0,1072,1635,451,118,223,1706,1792,124,0,0,102
122,121,74,816,267,176,1014,1610,126,1335,935,109
167,95,685,421,1311,1563,125,129,1612,1514,527,0
324,572,533,1048,1734,904,1572,131,201,1592,0,243
375,110,1334,1189,0,78,1496,605,903,136,1464,90
1193,0,1586,155,1141,270,1795,126,114,1340,170,0
177,117,123,85,98,1708,1188,0,1169,85,1351,88
875,71,131,135,969,1247,1628,440,211,126,1139,120
0,0,135,508,1662,0,109,1216,1400,156,926,90
92,126,1138,1423,800,735,1122,101,108,178,0,135
0,0,377,565,1515,1627,129,1379,102,130,0,116
0,153,86,1647,91,107,987,539,1600,1009,540,468
94,156,602,349,1409,101,106,334,1696,102,91,263
1636,833,1705,85,135,1733,120,1356,153,123,480,0
168,1609,167,0,83,968,735,109,78,1718,177,101
476,138,1275,1248,511,1061,726,411,164,1254,151,1639
0,85,77,104,1323,1265,1724,1721,86,99,159,851
988,1496,0,0,1220,88,0,1249,119,1420,129,1506
1539,95,1717,130,1021,89,558,76,821,1500,1410,0
304,637,108,96,0,890,96,1679,562,1450,121,146
73,848,113,145,1660,159,1007,452,116,91,277,1541
947,118,1007,454,1128,151,118,898,128,322,127,149
379,1169,279,88,123,1680,1001,541,111,962,175,90
719,0,1102,1154,1735,282,544,120,590,105,1357,577
0,131,1450,108,216,448,889,1155,1525,1149,83,1785
698,0,223,168,656,115,0,97,1581,0,126,0
129,1749,1793,0,106,105,133,105,980,107,110,1587
437,118,89,992,1178,170,176,1212,1451,159,127,1411
1028,0,1450,81,113,119,169,1667,732,0,257,1151
1185,142,856,1354,0,127,682,77,148,896,409,90
0,483,1635,85,201,1608,122,1064,630,740,0,120
512,110,0,159,593,104,775,127,942,120,1020,87
129,104,728,94,122,298,173,1479,1241,1288,99,87
963,0,604,1715,1041,1082,0,162,164,125,1407,169
126,1149,1033,89,0,862,616,78,742,103,116,111
894,112,447,129,920,1495,117,1409,0,0,1100,745
134,835,1125,160,1132,568,103,1334,152,931,131,1110
0,133,211,1332,1724,104,866,88,0,0,711,105
1376,0,678,1463,107,231,85,1485,99,702,127,109
997,129,128,667,110,596,1113,134,897,1720,127,622
336,119,91,0,502,156,1766,103,121,129,76,901
1639,120,109,114,0,734,91,1378,173,114,70,114
160,132,125,118,110,164,1416,1204,93,169,1000,134
644,843,0,0,241,331,1787,1067,111,1082,663,941
0,154,1795,109,763,117,144,1566,111,759,0,0
1292,1507,135,106,772,75,1779,89,170,88,74,136
1597,126,504,103,1553,87,795,1422,1729,79,774,694
154,100,94,623,135,72,110,1384,1623,123,1097,0
701,120,1728,0,791,577,97,243,112,122,424,1424
0,127,871,0,1525,1515,144,826,128,1183,124,562
506,0,416,165,170,0,160,475,1446,91,82,1428
132,91,340,144,775,121,135,0,157,87,1168,595
0,459,161,112,870,1082,1793,118,990,131,1706,0
0,645,350,1424,117,517,0,90,1334,1599,103,1004
286,661,0,742,308,639,130,1676,0,0,113,705
0,1772,709,123,674,1782,385,107,1237,155,1155,493
147,900,89,0,976,91,1547,1616,135,0,1240,165
1037,903,855,0,971,135,135,91,0,403,1085,104
1750,77,1040,112,593,98,1091,0,116,1110,996,0
121,0,0,602,536,1684,1392,1246,922,309,501,401
724,116,142,698,110,708,1201,1013,1584,569,607,1330
386,1613,179,86,927,909,0,520,132,111,101,1324
105,159,1463,76,176,141,1764,917,983,105,975,1394
365,918,592,0,1374,0,1108,1046,982,1134,971,94
131,1236,1174,0,114,142,499,893,157,1708,213,94
1341,87,128,1608,87,467,91,1016,0,1665,144,1188
160,1386,427,96,1414,172,122,118,154,278,126,1150
0,0,88,1701,95,86,809,73,1403,1368,100,739
882,1768,133,0,134,93,1388,1750,1065,107,115,1799
94,1286,0,164,103,748,0,147,278,445,689,578
133,134,437,105,827,177,155,0,254,137,0,868
1448,1209,1026,102,483,1357,100,969,128,132,1489,399
128,580,78,1191,938,113,1092,1323,1385,1163,96,430
885,91,1215,1220,925,755,1531,116,1424,917,123,128
293,344,1001,92,97,172,105,937,1183,127,772,110
1492,89,1331,132,385,1527,0,94,739,733,1666,718
130,597,1729,626,0,91,93,1098,1695,1501,1681,120
0,120,138,396,109,1403,131,0,0,100,141,135
92,178,1787,305,1701,1063,790,90,1048,1155,0,1021
118,1186,156,1095,90,129,106,1333,1500,89,288,112
1625,991,425,104,206,0,1783,177,173,450,347,76
96,1141,109,0,0,1208,0,1438,119,546,112,106
917,941,396,1575,0,91,1448,0,124,629,97,1728
485,1794,1067,1793,1129,1432,415,243,995,75,415,1608
301,862,122,110,115,104,1613,94,533,0,904,713
129,304,0,103,784,85,0,72,1551,575,165,806
172,108,570,127,144,1280,161,106,366,124,1714,240
1302,72,121,86,0,95,114,1302,1078,0,101,207
1071,1018,1508,1476,717,140,94,517,1474,1721,150,1759
597,815,705,582,114,176,91,76,87,165,111,1749
1684,0,325,0,110,101,0,102,78,86,128,167
132,116,560,1709,137,1012,81,1715,0,1789,414,77
161,904,91,0,542,0,1341,1645,0,811,131,828
156,374,0,460,569,91,125,98,1548,730,1573,1023
1684,1122,207,1252,151,159,762,480,158,0,469,127
1208,137,0,0,130,117,386,1419,124,0,1011,961
111,898,109,1669,120,118,454,0,120,169,679,1484
88,1234,655,89,94,629,115,0,103,273,649,1633
1717,1398,926,159,438,1074,321,82,749,248,563,1517
86,1500,133,1415,1363,599,1475,0,867,106,753,0
117,476,519,87,0,1770,0,846,649,86,88,150
131,464,1676,113,201,121,0,799,0,759,101,168
760,1195,557,96,0,0,0,629,844,1059,1201,127
1522,1329,778,1588,94,0,1782,1356,105,1602,114,1477
580,1364,1761,574,1482,319,106,133,0,881,129,1132
158,101,780,1219,1273,119,236,98,691,1323,1406,125
1149,1036,1628,479,679,0,1199,102,585,1484,180,121
102,0,1391,0,937,748,579,166,120,0,124,125
1748,1335,1060,1512,614,1642,268,163,86,153,1368,105
1530,1358,0,1344,1227,117,74,1528,792,0,274,121
124,875,109,1294,173,145,1358,90,1486,289,102,116
786,428,111,264,1241,93,108,83,110,180,1344,1768
868,121,0,1100,1033,232,1650,83,0,837,88,0
1020,469,108,0,129,176,981,1476,82,126,718,862
496,0,1713,1032,0,130,0,1508,1493,98,352,819
84,96,139,94,121,1298,1582,85,1115,656,1090,85
516,94,1665,1034,90,652,153,92,86,106,1789,0
86,557,1210,1296,1221,1658,86,974,1349,1050,769,0
102,106,1762,88,1040,647,99,0,157,132,114,78
115,99,1150,80,142,1351,122,138,597,123,0,1334
103,114,894,941,1509,973,910,0,93,146,0,498
119,168,242,110,259,305,131,324,476,1566,1723,745
134,344,1438,97,1716,260,0,1408,0,133,140,135
573,0,163,121,1414,434,0,485,90,472,107,1075
765,1768,106,128,153,85,155,1339,1130,133,111,597
609,934,166,1713,479,884,1442,733,122,375,129,1474
0,102,639,138,586,134,1614,1688,93,0,587,78
0,111,103,1041,1585,93,115,1223,1728,157,102,906
86,99,175,165,154,1427,766,0,0,177,79,1516
1401,0,934,379,1613,974,102,1580,108,1404,125,123
1506,107,130,361,89,295,1794,104,159,177,106,134
106,123,134,1467,1615,1225,111,95,0,119,1553,124
90,125,99,0,0,93,1202,704,0,519,105,107
